Gene_symbol	GENEID	EnsembleID	Description	Chromomsome	Position	Start	End	GENE_TYPE	Source
GAS1	2619	ENSG00000180447	growth arrest-specific 1 [Source:HGNC Symbol;Acc:4165]	9	9q21.33	89559279	89562104	TSG	TSGene
GAS5	-444	ENSG00000234741	growth arrest-specific 5 (non-protein coding) [Source:HGNC Symbol;Acc:16355]	1	1q25.1	173833038	173838020	TSG	TSGene
GATA4	2626	ENSG00000136574	GATA binding protein 4 [Source:HGNC Symbol;Acc:4173]	8	8p23.1	11534468	11617511	TSG	TSGene
GATA5	140628	ENSG00000130700	GATA binding protein 5 [Source:HGNC Symbol;Acc:15802]	20	20q13.33	61038553	61051026	TSG	TSGene
GBP1	2633	ENSG00000117228	guanylate binding protein 1, interferon-inducible [Source:HGNC Symbol;Acc:4182]	1	1p22.2	89518002	89531043	TSG	TSGene
GGNBP2	79893	ENSG00000005955	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:19357]	17	17q12	34900737	34946278	TSG	TSGene
GJA1	2697	ENSG00000152661	gap junction protein, alpha 1, 43kDa [Source:HGNC Symbol;Acc:4274]	6	6q22.31	121756838	121770873	TSG	TSGene
GJB2	2706	ENSG00000165474	gap junction protein, beta 2, 26kDa [Source:HGNC Symbol;Acc:4284]	13	13q12.11	20761609	20767037	TSG	TSGene
GKN1	56287	ENSG00000169605	gastrokine 1 [Source:HGNC Symbol;Acc:23217]	2	2p13.3	69201705	69208106	TSG	TSGene
GKN2	200504	ENSG00000183607	gastrokine 2 [Source:HGNC Symbol;Acc:24588]	2	2p13.3	69172364	69180102	TSG	TSGene
GLI1	2735	ENSG00000111087	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:4317]	12	12q13.3	57853918	57866045	TSG	TSGene
GLIPR1	-4072	ENSG00000139278	GLI pathogenesis-related 1 [Source:HGNC Symbol;Acc:17001]	12	12q21.2	75874460	75897633	TSG	TSGene
GLS2	27165	ENSG00000135423	glutaminase 2 (liver, mitochondrial) [Source:HGNC Symbol;Acc:29570]	12	12q13.3	56864736	56882198	TSG	TSGene
GLTSCR1	29998	ENSG00000063169	glioma tumor suppressor candidate region gene 1 [Source:HGNC Symbol;Acc:4332]	19	19q13.33	48111453	48206533	TSG	TSGene
GLTSCR2	29997	ENSG00000105373	glioma tumor suppressor candidate region gene 2 [Source:HGNC Symbol;Acc:4333]	19	19q13.33	48248779	48260315	TSG	TSGene
GNAT1	-1204	ENSG00000114349	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1 [Source:HGNC Symbol;Acc:4393]	3	3p21.31	50229045	50233949	TSG	TSGene
GNB2L1	10399	ENSG00000204628	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Source:HGNC Symbol;Acc:4399]	5	5q35.3	180663909	180675096	TSG	TSGene
GNMT	27232	ENSG00000124713	glycine N-methyltransferase [Source:HGNC Symbol;Acc:4415]	6	6p21.1	42928496	42931618	TSG	TSGene
GORAB	92344	ENSG00000120370	golgin, RAB6-interacting [Source:HGNC Symbol;Acc:25676]	1	1q24.2	170501270	170522587	TSG	TSGene
GPC3	2719	ENSG00000147257	glypican 3 [Source:HGNC Symbol;Acc:4451]	X	Xq26.2	132669773	133119922	TSG	TSGene
GPC5	2262	ENSG00000179399	glypican 5 [Source:HGNC Symbol;Acc:4453]	13	13q31.3	92050929	93519490	TSG	TSGene
GPRC5A	-3946	ENSG00000013588	G protein-coupled receptor, family C, group 5, member A [Source:HGNC Symbol;Acc:9836]	12	12p13.1	13043716	13070871	TSG	TSGene
GPX3	2878	ENSG00000211445	glutathione peroxidase 3 (plasma) [Source:HGNC Symbol;Acc:4555]	5	5q33.1	150400124	150408554	TSG	TSGene
GREM1	26585	ENSG00000166923	gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:2001]	15	15q13.3	33010175	33026870	TSG	TSGene
GRIN2A	2903	ENSG00000183454	glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:HGNC Symbol;Acc:4585]	16	16p13.2	9852376	10276611	TSG	TSGene
GSK3B	2932	ENSG00000082701	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:4617]	3	3q13.33	119540170	119813264	TSG	TSGene
GSN	2934	ENSG00000148180	gelsolin [Source:HGNC Symbol;Acc:4620]	9	9q33.2	123970072	124095121	TSG	TSGene
GSTP1	2950	ENSG00000084207	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:4638]	11	11q13.2	67351066	67354131	TSG	TSGene
GSTT1	2952	ENSG00000184674	glutathione S-transferase theta 1 [Source:HGNC Symbol;Acc:4641]	22	22q11.23	24376133	24384680	TSG	TSGene
GTPBP4	23560	ENSG00000107937	GTP binding protein 4 [Source:HGNC Symbol;Acc:21535]	10	10p15.3	1034338	1065876	TSG	TSGene
GUCY2C	2984	ENSG00000070019	guanylate cyclase 2C (heat stable enterotoxin receptor) [Source:HGNC Symbol;Acc:4688]	12	12p13.1	14765576	14849519	TSG	TSGene
H19	-3587	ENSG00000130600	H19, imprinted maternally expressed transcript (non-protein coding) [Source:HGNC Symbol;Acc:4713]	11	11p15.5	2016406	2022700	TSG	TSGene
H2AFX	3014	ENSG00000188486	H2A histone family, member X [Source:HGNC Symbol;Acc:4739]	11	11q23.3	118964564	118966177	TSG	TSGene
HACE1	57531	ENSG00000085382	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:21033]	6	6q16.3	105175968	105307794	TSG	TSGene
HBP1	26959	ENSG00000105856	HMG-box transcription factor 1 [Source:HGNC Symbol;Acc:23200]	7	7q22.3	106809406	106842974	TSG	TSGene
HCAR2	338442	ENSG00000182782	hydroxycarboxylic acid receptor 2 [Source:HGNC Symbol;Acc:24827]	12	12q24.31	123185840	123187890	TSG	TSGene
HDAC1	3065	ENSG00000116478	histone deacetylase 1 [Source:HGNC Symbol;Acc:4852]	1	1p35.1	32757687	32799236	TSG	TSGene
HDAC3	8841	ENSG00000171720	histone deacetylase 3 [Source:HGNC Symbol;Acc:4854]	5	5q31.3	141000443	141016437	TSG	TSGene
HECA	51696	ENSG00000112406	headcase homolog (Drosophila) [Source:HGNC Symbol;Acc:21041]	6	6q24.1	139456249	139501939	TSG	TSGene
HEPACAM	220296	ENSG00000165478	hepatic and glial cell adhesion molecule [Source:HGNC Symbol;Acc:26361]	11	11q24.2	124789089	124806308	TSG	TSGene
HIC1	3090	ENSG00000177374	hypermethylated in cancer 1 [Source:HGNC Symbol;Acc:4909]	17	17p13.3	1957448	1962981	TSG	TSGene
HIF1A	3091	ENSG00000100644	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) [Source:HGNC Symbol;Acc:4910]	14	14q23.2	62162231	62214976	TSG	TSGene
HINT1	-1938	ENSG00000169567	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:4912]	5	5q23.3	130494720	130507428	TSG	TSGene
HIPK2	28996	ENSG00000064393	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:14402]	7	7q34	139246316	139477577	TSG	TSGene
HIRA	7290	ENSG00000100084	histone cell cycle regulator [Source:HGNC Symbol;Acc:4916]	22	22q11.21	19318221	19435224	TSG	TSGene
HIVEP1	3096	ENSG00000095951	human immunodeficiency virus type I enhancer binding protein 1 [Source:HGNC Symbol;Acc:4920]	6	6p24.1	12008995	12165232	TSG	TSGene
HIVEP3	59269	ENSG00000127124	human immunodeficiency virus type I enhancer binding protein 3 [Source:HGNC Symbol;Acc:13561]	1	1p34.2	41972036	42501596	TSG	TSGene
HLTF	6596	ENSG00000071794	helicase-like transcription factor [Source:HGNC Symbol;Acc:11099]	3	3q24	148747914	148804341	TSG	TSGene
HNF4A	3172	ENSG00000101076	hepatocyte nuclear factor 4, alpha [Source:HGNC Symbol;Acc:5024]	20	20q13.12	42984340	43061485	TSG	TSGene
HOMER2	9455	ENSG00000103942	homer homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:17513]	15	15q25.2	83509838	83654661	TSG	TSGene
HOPX	84525	ENSG00000171476	HOP homeobox [Source:HGNC Symbol;Acc:24961]	4	4q12	57514155	57548065	TSG	TSGene
HOXB13	10481	ENSG00000159184	homeobox B13 [Source:HGNC Symbol;Acc:5112]	17	17q21.32	46802125	46806540	TSG	TSGene
HPGD	3248	ENSG00000164120	hydroxyprostaglandin dehydrogenase 15-(NAD) [Source:HGNC Symbol;Acc:5154]	4	4q34.1	175411328	175444305	TSG	TSGene
HRASLS2	54979	ENSG00000133328	HRAS-like suppressor 2 [Source:HGNC Symbol;Acc:17824]	11	11q12.3	63320242	63330855	TSG	TSGene
HRG	3273	ENSG00000113905	histidine-rich glycoprotein [Source:HGNC Symbol;Acc:5181]	3	3q27.3	186378005	186396029	TSG	TSGene
HSP90B1	7184	ENSG00000166598	heat shock protein 90kDa beta (Grp94), member 1 [Source:HGNC Symbol;Acc:12028]	12	12q23.3	104323885	104347423	TSG	TSGene
HSPB7	27129	ENSG00000173641	heat shock 27kDa protein family, member 7 (cardiovascular) [Source:HGNC Symbol;Acc:5249]	1	1p36.13	16340523	16346089	TSG	TSGene
HSPD1	3329	ENSG00000144381	heat shock 60kDa protein 1 (chaperonin) [Source:HGNC Symbol;Acc:5261]	2	2q33.1	198351305	198381461	TSG	TSGene
HTATIP2	10553	ENSG00000109854	HIV-1 Tat interactive protein 2, 30kDa [Source:HGNC Symbol;Acc:16637]	11	11p15.1	20385231	20405329	TSG	TSGene
HTRA1	5654	ENSG00000166033	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:9476]	10	10q26.13	124221041	124274424	TSG	TSGene
HTRA2	27429	ENSG00000115317	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:14348]	2	2p13.1	74756504	74760472	TSG	TSGene
HTRA3	94031	ENSG00000170801	HtrA serine peptidase 3 [Source:HGNC Symbol;Acc:30406]	4	4p16.1	8271492	8308838	TSG	TSGene
ID4	-2091	ENSG00000172201	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:5363]	6	6p22.3	19837617	19840915	TSG	TSGene
IDH1	3417	ENSG00000138413	isocitrate dehydrogenase 1 (NADP+), soluble [Source:HGNC Symbol;Acc:5382]	2	2q34	209100951	209130798	TSG	TSGene
IER3	8870	ENSG00000137331	immediate early response 3 [Source:HGNC Symbol;Acc:5392]	6	6p21.33	30710976	30712331	TSG	TSGene
IFI16	3428	ENSG00000163565	interferon, gamma-inducible protein 16 [Source:HGNC Symbol;Acc:5395]	1	1q23.1	158969758	159024945	TSG	TSGene
IFT88	8100	ENSG00000032742	intraflagellar transport 88 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:20606]	13	13q12.11	21140585	21265503	TSG	TSGene
IGF1	3479	ENSG00000017427	insulin-like growth factor 1 (somatomedin C) [Source:HGNC Symbol;Acc:5464]	12	12q23.2	102789645	102874423	TSG	TSGene
IGF2R	3482	ENSG00000197081	insulin-like growth factor 2 receptor [Source:HGNC Symbol;Acc:5467]	6	6q25.3	160390131	160534539	TSG	TSGene
IGFALS	3483	ENSG00000099769	insulin-like growth factor binding protein, acid labile subunit [Source:HGNC Symbol;Acc:5468]	16	16p13.3	1840414	1844972	TSG	TSGene
IGFBP3	3486	ENSG00000146674	insulin-like growth factor binding protein 3 [Source:HGNC Symbol;Acc:5472]	7	7p12.3	45951949	45961473	TSG	TSGene
IGFBP4	3487	ENSG00000141753	insulin-like growth factor binding protein 4 [Source:HGNC Symbol;Acc:5473]	17	17q21.2	38599702	38613983	TSG	TSGene
IGFBP5	3488	ENSG00000115461	insulin-like growth factor binding protein 5 [Source:HGNC Symbol;Acc:5474]	2	2q35	217536828	217560248	TSG	TSGene
IGFBP7	3490	ENSG00000163453	insulin-like growth factor binding protein 7 [Source:HGNC Symbol;Acc:5476]	4	4q12	57896939	57976551	TSG	TSGene
IGFBPL1	-3078	ENSG00000137142	insulin-like growth factor binding protein-like 1 [Source:HGNC Symbol;Acc:20081]	9	9p13.1	38408991	38424444	TSG	TSGene
IKZF1	10320	ENSG00000185811	IKAROS family zinc finger 1 (Ikaros) [Source:HGNC Symbol;Acc:13176]	7	7p12.2	50343720	50472799	TSG	TSGene
IKZF2	22807	ENSG00000030419	IKAROS family zinc finger 2 (Helios) [Source:HGNC Symbol;Acc:13177]	2	2q34	213864429	214017151	TSG	TSGene
IKZF3	-5532	ENSG00000161405	IKAROS family zinc finger 3 (Aiolos) [Source:HGNC Symbol;Acc:13178]	17	17q12	37921198	38020441	TSG	TSGene
IL17A	3605	ENSG00000112115	interleukin 17A [Source:HGNC Symbol;Acc:5981]	6	6p12.2	52051185	52055436	TSG	TSGene
IL17RD	54756	ENSG00000144730	interleukin 17 receptor D [Source:HGNC Symbol;Acc:17616]	3	3p14.3	57124010	57204334	TSG	TSGene
IL24	11009	ENSG00000162892	interleukin 24 [Source:HGNC Symbol;Acc:11346]	1	1q32.1	207070788	207077484	TSG	TSGene
ILK	3611	ENSG00000166333	integrin-linked kinase [Source:HGNC Symbol;Acc:6040]	11	11p15.4	6624961	6632102	TSG	TSGene
ING1	3621	ENSG00000153487	inhibitor of growth family, member 1 [Source:HGNC Symbol;Acc:6062]	13	13q34	111365083	111373421	TSG	TSGene
ING2	3622	ENSG00000168556	inhibitor of growth family, member 2 [Source:HGNC Symbol;Acc:6063]	4	4q35.1	184426147	184432249	TSG	TSGene
ING3	54556	ENSG00000071243	inhibitor of growth family, member 3 [Source:HGNC Symbol;Acc:14587]	7	7q31.31	120590803	120617270	TSG	TSGene
ING4	51147	ENSG00000111653	inhibitor of growth family, member 4 [Source:HGNC Symbol;Acc:19423]	12	12p13.31	6759446	6772314	TSG	TSGene
ING5	84289	ENSG00000168395	inhibitor of growth family, member 5 [Source:HGNC Symbol;Acc:19421]	2	2q37.3	242641450	242668893	TSG	TSGene
INPP4B	8821	ENSG00000109452	inositol polyphosphate-4-phosphatase, type II, 105kDa [Source:HGNC Symbol;Acc:6075]	4	4q31.21	142944313	143768585	TSG	TSGene
INTS6	26512	ENSG00000102786	integrator complex subunit 6 [Source:HGNC Symbol;Acc:14879]	13	13q14.3	51928213	52028400	TSG	TSGene
IQGAP2	10788	ENSG00000145703	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:6111]	5	5q13.3	75699074	76003957	TSG	TSGene
IRF1	3659	ENSG00000125347	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:6116]	5	5q31.1	131817301	131826490	TSG	TSGene
IRF3	3661	ENSG00000126456	interferon regulatory factor 3 [Source:HGNC Symbol;Acc:6118]	19	19q13.33	50162826	50169132	TSG	TSGene
IRF4	3662	ENSG00000137265	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:6119]	6	6p25.3	391739	411447	TSG	TSGene
IRF5	3663	ENSG00000128604	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:6120]	7	7q32.1	128577666	128590089	TSG	TSGene
IRF8	3394	ENSG00000140968	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:5358]	16	16q24.1	85932409	85956215	TSG	TSGene
IRX1	79192	ENSG00000170549	iroquois homeobox 1 [Source:HGNC Symbol;Acc:14358]	5	5p15.33	3596168	3601517	TSG	TSGene
ISG15	9636	ENSG00000187608	ISG15 ubiquitin-like modifier [Source:HGNC Symbol;Acc:4053]	1	1p36.33	948803	949920	TSG	TSGene
ITGA5	3678	ENSG00000161638	integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:HGNC Symbol;Acc:6141]	12	12q13.13	54789045	54813244	TSG	TSGene
ITGA7	3679	ENSG00000135424	integrin, alpha 7 [Source:HGNC Symbol;Acc:6143]	12	12q13.2	56078352	56109827	TSG	TSGene
ITGAV	3685	ENSG00000138448	integrin, alpha V [Source:HGNC Symbol;Acc:6150]	2	2q32.1	187454792	187545628	TSG	TSGene
ITGB1	3688	ENSG00000150093	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) [Source:HGNC Symbol;Acc:6153]	10	10p11.22	33189247	33294720	TSG	TSGene
ITGB3	3690	ENSG00000259207	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61) [Source:HGNC Symbol;Acc:6156]	17	17q21.32	45331212	45421658	TSG	TSGene
JDP2	122953	ENSG00000140044	Jun dimerization protein 2 [Source:HGNC Symbol;Acc:17546]	14	14q24.3	75894419	75940814	TSG	TSGene
JUP	3728	ENSG00000173801	junction plakoglobin [Source:HGNC Symbol;Acc:6207]	17	17q21.2	39775692	39943183	TSG	TSGene
KANK1	23189	ENSG00000107104	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]	9	9p24.3	470291	746105	TSG	TSGene
KAT5	10524	ENSG00000172977	K(lysine) acetyltransferase 5 [Source:HGNC Symbol;Acc:5275]	11	11q13.1	65479467	65487075	TSG	TSGene
KCNRG	283518	ENSG00000198553	potassium channel regulator [Source:HGNC Symbol;Acc:18893]	13	13q14.2	50589390	50595058	TSG	TSGene
KDM3A	55818	ENSG00000115548	lysine (K)-specific demethylase 3A [Source:HGNC Symbol;Acc:20815]	2	2p11.2	86667770	86719839	TSG	TSGene
KDM3B	51780	ENSG00000120733	lysine (K)-specific demethylase 3B [Source:HGNC Symbol;Acc:1337]	5	5q31.2	137688285	137772717	TSG	TSGene
KDM5A	5927	ENSG00000073614	lysine (K)-specific demethylase 5A [Source:HGNC Symbol;Acc:9886]	12	12p13.33	389295	498620	TSG	TSGene
KDM6A	7403	ENSG00000147050	lysine (K)-specific demethylase 6A [Source:HGNC Symbol;Acc:12637]	X	Xp11.3	44732757	44971847	TSG	TSGene
KDM8	79831	ENSG00000155666	lysine (K)-specific demethylase 8 [Source:HGNC Symbol;Acc:25840]	16	16p12.1	27214807	27233089	TSG	TSGene
KIF1B	23095	ENSG00000054523	kinesin family member 1B [Source:HGNC Symbol;Acc:16636]	1	1p36.22	10270863	10441661	TSG	TSGene
KIF7	374654	ENSG00000166813	kinesin family member 7 [Source:HGNC Symbol;Acc:30497]	15	15q26.1	90152020	90198682	TSG	TSGene
KISS1	3814	ENSG00000170498	KiSS-1 metastasis-suppressor [Source:HGNC Symbol;Acc:6341]	1	1q32.1	204159469	204165614	TSG	TSGene
KL	9365	ENSG00000133116	klotho [Source:HGNC Symbol;Acc:6344]	13	13q13.1	33590207	33640282	TSG	TSGene
KLF10	7071	ENSG00000155090	Kruppel-like factor 10 [Source:HGNC Symbol;Acc:11810]	8	8q22.3	103661007	103668130	TSG	TSGene
KLF4	9314	ENSG00000136826	Kruppel-like factor 4 (gut) [Source:HGNC Symbol;Acc:6348]	9	9q31.2	110247133	110252763	TSG	TSGene
KLF5	688	ENSG00000102554	Kruppel-like factor 5 (intestinal) [Source:HGNC Symbol;Acc:6349]	13	13q22.1	73629114	73651676	TSG	TSGene
KLF6	1316	ENSG00000067082	Kruppel-like factor 6 [Source:HGNC Symbol;Acc:2235]	10	10p15.1	3818188	3827473	TSG	TSGene
KLK10	5655	ENSG00000129451	kallikrein-related peptidase 10 [Source:HGNC Symbol;Acc:6358]	19	19q13.41	51515995	51523431	TSG	TSGene
KLK6	5653	ENSG00000167755	kallikrein-related peptidase 6 [Source:HGNC Symbol;Acc:6367]	19	19q13.41	51461887	51472929	TSG	TSGene
KMT2C	58508	ENSG00000055609	lysine (K)-specific methyltransferase 2C [Source:HGNC Symbol;Acc:13726]	7	7q36.1	151832010	152133090	TSG	TSGene
KRIT1	889	ENSG00000001631	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]	7	7q21.2	91828283	91875480	TSG	TSGene
KRT19	3880	ENSG00000171345	keratin 19 [Source:HGNC Symbol;Acc:6436]	17	17q21.2	39679869	39684560	TSG	TSGene
L3MBTL4	91133	ENSG00000154655	l(3)mbt-like 4 (Drosophila) [Source:HGNC Symbol;Acc:26677]	18	18p11.31	5954705	6415236	TSG	TSGene
LAT2	7462	ENSG00000086730	linker for activation of T cells family, member 2 [Source:HGNC Symbol;Acc:12749]	7	7q11.23	73613982	73644161	TSG	TSGene
LATS1	9113	ENSG00000131023	large tumor suppressor kinase 1 [Source:HGNC Symbol;Acc:6514]	6	6q25.1	149979289	150039392	TSG	TSGene
LATS2	26524	ENSG00000150457	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:6515]	13	13q12.11	21547171	21635686	TSG	TSGene
LEFTY1	10637	ENSG00000243709	left-right determination factor 1 [Source:HGNC Symbol;Acc:6552]	1	1q42.12	226073982	226099082	TSG	TSGene
LEFTY2	7044	ENSG00000143768	left-right determination factor 2 [Source:HGNC Symbol;Acc:3122]	1	1q42.12	226124298	226129189	TSG	TSGene
LGALS7	3963	ENSG00000205076	lectin, galactoside-binding, soluble, 7 [Source:HGNC Symbol;Acc:6568]	19	19q13.2	39261611	39264132	TSG	TSGene
LHX4	-461	ENSG00000121454	LIM homeobox 4 [Source:HGNC Symbol;Acc:21734]	1	1q25.2	180199421	180249380	TSG	TSGene
LHX6	26468	ENSG00000106852	LIM homeobox 6 [Source:HGNC Symbol;Acc:21735]	9	9q33.2	124964856	124991905	TSG	TSGene
LIFR	3977	ENSG00000113594	leukemia inhibitory factor receptor alpha [Source:HGNC Symbol;Acc:6597]	5	5p13.1	38475065	38608456	TSG	TSGene
LIMA1	51474	ENSG00000050405	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:24636]	12	12q13.12	50569571	50677329	TSG	TSGene
LIMD1	-1178	ENSG00000144791	LIM domains containing 1 [Source:HGNC Symbol;Acc:6612]	3	3p21.31	45596886	45727830	TSG	TSGene
LIN9	286826	ENSG00000183814	lin-9 homolog (C. elegans) [Source:HGNC Symbol;Acc:30830]	1	1q42.12	226418850	226497570	TSG	TSGene
LITAF	9516	ENSG00000189067	lipopolysaccharide-induced TNF factor [Source:HGNC Symbol;Acc:16841]	16	16p13.13	11641853	11730237	TSG	TSGene
LLGL1	3996	ENSG00000131899	lethal giant larvae homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:6628]	17	17p11.2	18128901	18148189	TSG	TSGene
LOX	4015	ENSG00000113083	lysyl oxidase [Source:HGNC Symbol;Acc:6664]	5	5q23.1	121398890	121413980	TSG	TSGene
LRIG1	26018	ENSG00000144749	leucine-rich repeats and immunoglobulin-like domains 1 [Source:HGNC Symbol;Acc:17360]	3	3p14.1	66429221	66551687	TSG	TSGene
LRIG3	121227	ENSG00000139263	leucine-rich repeats and immunoglobulin-like domains 3 [Source:HGNC Symbol;Acc:30991]	12	12q14.1	59265931	59314303	TSG	TSGene
LRMP	4033	ENSG00000118308	lymphoid-restricted membrane protein [Source:HGNC Symbol;Acc:6690]	12	12p12.1	25173936	25261268	TSG	TSGene
LRP1B	53353	ENSG00000168702	low density lipoprotein receptor-related protein 1B [Source:HGNC Symbol;Acc:6693]	2	2q22.1	140988992	142889270	TSG	TSGene
LRRC3B	116135	ENSG00000179796	leucine rich repeat containing 3B [Source:HGNC Symbol;Acc:28105]	3	3p24.1	26664297	26752267	TSG	TSGene
LRRC4	64101	ENSG00000128594	leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:15586]	7	7q32.1	127667124	127672160	TSG	TSGene
LSAMP	4045	ENSG00000185565	limbic system-associated membrane protein [Source:HGNC Symbol;Acc:6705]	3	3q13.31	115521235	117716095	TSG	TSGene
LTF	4057	ENSG00000012223	lactotransferrin [Source:HGNC Symbol;Acc:6720]	3	3p21.31	46477136	46526724	TSG	TSGene
LXN	56925	ENSG00000079257	latexin [Source:HGNC Symbol;Acc:13347]	3	3q25.32	158363611	158390482	TSG	TSGene
LZTS1	11178	ENSG00000061337	leucine zipper, putative tumor suppressor 1 [Source:HGNC Symbol;Acc:13861]	8	8p21.3	20103676	20161474	TSG	TSGene
MAD1L1	8379	ENSG00000002822	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]	7	7p22.3	1855429	2272878	TSG	TSGene
MADD	8567	ENSG00000110514	MAP-kinase activating death domain [Source:HGNC Symbol;Acc:6766]	11	11p11.2	47290712	47351582	TSG	TSGene
MAL	4118	ENSG00000172005	mal, T-cell differentiation protein [Source:HGNC Symbol;Acc:6817]	2	2q11.1	95691422	95719737	TSG	TSGene
MAP2K4	6416	ENSG00000065559	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:6844]	17	17p12	11924141	12047147	TSG	TSGene
MAP3K4	4216	ENSG00000085511	mitogen-activated protein kinase kinase kinase 4 [Source:HGNC Symbol;Acc:6856]	6	6q26	161412759	161538417	TSG	TSGene
MAP3K8	1326	ENSG00000107968	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:6860]	10	10p11.23	30722866	30750762	TSG	TSGene
MAP4K1	11184	ENSG00000104814	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:6863]	19	19q13.2	39078281	39109522	TSG	TSGene
MAPK10	5602	ENSG00000109339	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:6872]	4	4q21.3	86936276	87515284	TSG	TSGene
MAPK9	5601	ENSG00000050748	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:6886]	5	5q35.3	179660143	179719099	TSG	TSGene
MARCKS	4082	ENSG00000155130	myristoylated alanine-rich protein kinase C substrate [Source:HGNC Symbol;Acc:6759]	6	6q21	114178541	114184648	TSG	TSGene
MARVELD1	83742	ENSG00000155254	MARVEL domain containing 1 [Source:HGNC Symbol;Acc:28674]	10	10q24.2	99472930	99477907	TSG	TSGene
MAT2A	4144	ENSG00000168906	methionine adenosyltransferase II, alpha [Source:HGNC Symbol;Acc:6904]	2	2p11.2	85766288	85772403	TSG	TSGene
MAX	4149	ENSG00000125952	MYC associated factor X [Source:HGNC Symbol;Acc:6913]	14	14q23.3	65472892	65569413	TSG	TSGene
MBD4	8930	ENSG00000129071	methyl-CpG binding domain protein 4 [Source:HGNC Symbol;Acc:6919]	3	3q21.3	129149787	129158878	TSG	TSGene
MCC	4163	ENSG00000171444	mutated in colorectal cancers [Source:HGNC Symbol;Acc:6935]	5	5q22.2	112357796	112824527	TSG	TSGene
MCM9	254394	ENSG00000111877	minichromosome maintenance complex component 9 [Source:HGNC Symbol;Acc:21484]	6	6q22.31	119134605	119256327	TSG	TSGene
MCPH1	79648	ENSG00000147316	microcephalin 1 [Source:HGNC Symbol;Acc:6954]	8	8p23.1	6264113	6501144	TSG	TSGene
MDC1	9656	ENSG00000137337	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:21163]	6	6p21.33	30667584	30685666	TSG	TSGene
MEG3	-4746	ENSG00000214548	maternally expressed 3 (non-protein coding) [Source:HGNC Symbol;Acc:14575]	14	14q32.2	101245747	101327368	TSG	TSGene
MEN1	4221	ENSG00000133895	multiple endocrine neoplasia I [Source:HGNC Symbol;Acc:7010]	11	11q13.1	64570982	64578766	TSG	TSGene
MFSD2A	84879	ENSG00000168389	major facilitator superfamily domain containing 2A [Source:HGNC Symbol;Acc:25897]	1	1p34.2	40420802	40435638	TSG	TSGene
MIA	8190	ENSG00000261857	melanoma inhibitory activity [Source:HGNC Symbol;Acc:7076]	19	19q13.2	41277553	41283395	TSG	TSGene
MIA2	117153	ENSG00000150526	melanoma inhibitory activity 2 [Source:HGNC Symbol;Acc:18432]	14	14q21.1	39699435	39722859	TSG	TSGene
MIR100	406892	ENSG00000207994	microRNA 100 [Source:HGNC Symbol;Acc:31487]	11	11q24.1	122022937	122023016	TSG	TSGene
MIR106A	406899	ENSG00000207602	microRNA 106a [Source:HGNC Symbol;Acc:31494]	X	Xq26.2	133304228	133304308	TSG	TSGene
